,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_chemical_distsv,lf_disease_distsv,label,orig_index,olabel
376,propofol,13,14,82,90,We investigated the safety and efficacy of adding different doses of ephedrine to propofol in order to obtund the hypotensive response.,10520387_1,0,-1,0,376,0
378,propofol,17,18,77,85,"The haemodynamic effects of adding 15, 20 or 25 mg of ephedrine to 200 mg of propofol were compared to control in 40 ASA 3/4 patients over 60 years presenting for genito-urinary surgery.",10520387_2,0,-1,0,378,0
381,propofol,5,6,29,37,The addition of ephedrine to propofol appears to be an effective method of obtunding the hypotensive response to propofol at all doses used in this study.,10520387_3,0,-1,0,381,0
382,propofol,18,19,113,121,The addition of ephedrine to propofol appears to be an effective method of obtunding the hypotensive response to propofol at all doses used in this study.,10520387_3,0,-1,0,382,0
384,propofol,13,14,85,93,"However, marked tachycardia associated with the use of ephedrine in combination with propofol occurred in the majority of patients, occasionally reaching high levels in individual patients.",10520387_4,0,-1,0,384,0
394,lead acetate,12,14,79,91,"Male Sprague-Dawley rats were randomly assigned to a lead-treated group (given lead acetate, 100 ppm, in drinking water and regular rat chow), a group given lead and vitamin E-fortified chow, or a normal control group given either regular food and water or vitamin E-fortified food for 12 weeks.",10523326_3,0,-1,0,394,0
400,malondialdehyde,9,10,51,66,"Tail blood pressure, urinary NOx excretion, plasma malondialdehyde (MDA), and endothelial and inducible NOS (eNOS and iNOS) isotypes in the aorta and kidney were measured.",10523326_4,0,-1,0,400,0
455,Gemcitabine,0,1,0,11,Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patients who cannot receive cisplatin.,10526274_0,0,-1,0,455,0
456,vinorelbine,2,3,17,28,Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patients who cannot receive cisplatin.,10526274_0,0,-1,0,456,0
458,cisplatin,20,21,123,132,Gemcitabine plus vinorelbine in nonsmall cell lung carcinoma patients age 70 years or older or patients who cannot receive cisplatin.,10526274_0,0,-1,0,458,0
462,vinorelbine,8,9,55,66,"Recent reports indicate that single agent therapy with vinorelbine (VNB) or gemcitabine (GEM) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life.",10526274_3,0,-1,0,462,0
464,gemcitabine,13,14,76,87,"Recent reports indicate that single agent therapy with vinorelbine (VNB) or gemcitabine (GEM) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life.",10526274_3,0,-1,0,464,0
469,cisplatin,28,29,170,179,In the current study the efficacy and toxicity of the combination of GEM and VNB in elderly patients with advanced NSCLC or those with some contraindication to receiving cisplatin were assessed.,10526274_4,0,-1,0,469,0
471,cisplatin,33,34,171,180,"METHODS: Forty-nine patients with advanced NSCLC were included, 38 of whom were age >/= 70 years and 11 were age < 70 years but who had some contraindication to receiving cisplatin.",10526274_5,0,-1,0,471,0
521,creatinine,21,22,146,156,"We used time-to-event analysis to identify potential predictors of decrease in renal function including age, baseline ejection fraction, baseline creatinine, low systolic blood pressure (<100 mm Hg), history of hypertension, diabetes, and use of antiplatelet, diuretic, and beta-blocker therapy.",10539815_6,0,-1,0,521,0
564,olanzapine,4,5,35,45,Hypomania-like syndrome induced by olanzapine.,10565806_0,0,-1,0,564,0
568,olanzapine,26,27,159,169,We report a female patient with a diagnosis of a not otherwise specified psychotic disorder (DSM-IV) who developed hypomania shortly after the introduction of olanzapine treatment.,10565806_1,0,-1,0,568,0
571,5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide,2,22,9,114,"NRA0160, 5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide, has a high affinity for human cloned dopamine D4.2, D4.4 and D4.7 receptors, with Ki values of 0.5, 0.9 and 2.7 nM, respectively.",10579464_1,0,-1,0,571,0
788,bromocriptine,5,6,29,42,"In control rats, intravenous bromocriptine (150 microg/kg) induced significant hypotension and tachycardia.",10721819_4,0,-1,0,788,0
806,bromocriptine,13,14,72,85,"They suggest that, in normal conscious rats, the central tachycardia of bromocriptine appears to predominate and to mask the bradycardia of this agonist at peripheral dopamine D2 receptors.",10721819_10,0,-1,0,806,0
834,oral contraceptives,4,6,23,42,Recurrent use of newer oral contraceptives and the risk of venous thromboembolism.,10739826_0,0,-1,0,834,0
840,oral contraceptives,16,18,105,124,"The epidemiological studies that assessed the risk of venous thromboembolism (VTE) associated with newer oral contraceptives (OC) did not distinguish between patterns of OC use, namely first-time users, repeaters and switchers.",10739826_1,0,-1,0,840,0
883,cyclosporine,8,9,65,77,Treatment of tacrolimus-related adverse effects by conversion to cyclosporine in liver transplant recipients.,10743694_0,0,-1,0,883,0
890,tacrolimus,6,7,37,47,"Of 388 liver recipients who received tacrolimus as primary immunosuppression, 70 required conversion to CyA. We recorded indication for conversion, whether conversion was early or late after transplantation, tacrolimus dose and trough blood level at conversion, and incidence of rejection after conversion.",10743694_3,0,-1,0,890,0
893,tacrolimus,31,32,208,218,"Of 388 liver recipients who received tacrolimus as primary immunosuppression, 70 required conversion to CyA. We recorded indication for conversion, whether conversion was early or late after transplantation, tacrolimus dose and trough blood level at conversion, and incidence of rejection after conversion.",10743694_3,0,-1,0,893,0
965,nimodipine,3,4,22,32,Effect of intravenous nimodipine on blood pressure and outcome after acute stroke.,10835440_0,0,-1,0,965,0
967,Nimodipine,6,7,40,50,BACKGROUND AND PURPOSE: The Intravenous Nimodipine West European Stroke Trial (INWEST) found a correlation between nimodipine-induced reduction in blood pressure (BP) and an unfavorable outcome in acute stroke.,10835440_1,0,-1,0,967,0
979,nimodipine,41,42,198,208,"METHODS: Patients with a clinical diagnosis of ischemic stroke (within 24 hours) were consecutively allocated to receive placebo (n=100), 1 mg/h (low-dose) nimodipine (n=101), or 2 mg/h (high-dose) nimodipine (n=94).",10835440_3,0,-1,0,979,0
983,Nimodipine,0,1,0,10,Nimodipine treatment resulted in a statistically significant reduction in systolic BP (SBP) and diastolic BP (DBP) from baseline compared with placebo during the first few days.,10835440_6,0,-1,0,983,0
1008,nimodipine,2,3,13,23,"For low-dose nimodipine, the results were not conclusive.",10835440_11,0,-1,0,1008,0
1010,nimodipine,11,12,70,80,These results do not confirm or exclude a neuroprotective property of nimodipine.,10835440_12,0,-1,0,1010,0
1016,Cyclophosphamide,0,1,0,16,"Cyclophosphamide (CP), an antitumoral agent known to produce toxic effects on the bladder wall through its main toxic metabolite acrolein, was used to induce cystitis.",10840460_2,0,-1,0,1016,0
1148,Cyclosporine,0,1,0,12,Cyclosporine and tacrolimus-associated thrombotic microangiopathy.,11007689_0,0,-1,0,1148,0
1153,cyclosporine,13,14,79,91,The development of thrombotic microangiopathy (TMA) associated with the use of cyclosporine has been well documented.,11007689_1,0,-1,0,1153,0
1154,cyclosporine,7,8,57,69,"Treatments have included discontinuation or reduction of cyclosporine dose with or without concurrent plasma exchange, plasma infusion, anticoagulation, and intravenous immunoglobulin G infusion.",11007689_2,0,-1,0,1154,0
1162,tacrolimus,8,9,42,52,The last decade has seen the emergence of tacrolimus as a potent immunosuppressive agent with mechanisms of action virtually identical to those of cyclosporine.,11007689_4,0,-1,0,1162,0
1164,cyclosporine,23,24,147,159,The last decade has seen the emergence of tacrolimus as a potent immunosuppressive agent with mechanisms of action virtually identical to those of cyclosporine.,11007689_4,0,-1,0,1164,0
1165,tacrolimus,6,7,26,36,"As a result, switching to tacrolimus has been reported to be a viable therapeutic option in the setting of cyclosporine-induced TMA.",11007689_5,0,-1,0,1165,0
1167,tacrolimus,6,7,40,50,"With the more widespread application of tacrolimus in organ transplantation, tacrolimus-associated TMA has also been recognized.",11007689_6,0,-1,0,1167,0
1171,cyclosporine,16,17,105,117,"However, literature regarding the incidence of the recurrence of TMA in patients exposed sequentially to cyclosporine and tacrolimus is limited.",11007689_7,0,-1,0,1171,0
1172,tacrolimus,18,19,122,132,"However, literature regarding the incidence of the recurrence of TMA in patients exposed sequentially to cyclosporine and tacrolimus is limited.",11007689_7,0,-1,0,1172,0
1174,cyclosporine,21,22,137,149,We report a case of a living donor renal transplant recipient who developed cyclosporine-induced TMA that responded to the withdrawal of cyclosporine in conjunction with plasmapheresis and fresh frozen plasma replacement therapy.,11007689_8,0,-1,0,1174,0
1176,tacrolimus,2,3,16,26,Introduction of tacrolimus as an alternative immunosuppressive agent resulted in the recurrence of TMA and the subsequent loss of the renal allograft.,11007689_9,0,-1,0,1176,0
1180,cyclosporine,5,6,31,43,Patients who are switched from cyclosporine to tacrolimus or vice versa should be closely monitored for the signs and symptoms of recurrent TMA.,11007689_10,0,-1,0,1180,0
1181,tacrolimus,7,8,47,57,Patients who are switched from cyclosporine to tacrolimus or vice versa should be closely monitored for the signs and symptoms of recurrent TMA.,11007689_10,0,-1,0,1181,0
1311,methylprednisolone,3,4,14,32,The dosage of methylprednisolone recommended by the NASCIS 3 is the highest dose of steroids ever being used during a 2-day period for any clinical condition.,11058428_3,0,-1,0,1311,0
1320,methylprednisolone,34,35,211,229,"Further, steroid myopathy recovers naturally and the neurological improvement shown in the NASCIS may be just a recording of this natural motor recovery from the steroid myopathy, instead of any protection that methylprednisolone offers to the spinal cord injury.",11058428_5,0,-1,0,1320,0
1322,methylprednisolone,14,15,84,102,"To our knowledge, this is the first discussion considering the possibility that the methylprednisolone recommended by NASCIS may cause acute corticosteroid myopathy.",11058428_6,0,-1,0,1322,0
1325,rapamycin,2,3,14,23,Conversion to rapamycin immunosuppression in renal transplant recipients: report of an initial experience.,11063349_0,0,-1,0,1325,0
1330,tacrolimus,23,24,125,135,BACKGROUND: The aim of this study is to evaluate the effects of RAPA conversion in patients undergoing cyclosporine (CsA) or tacrolimus (Tac) toxicity.,11063349_1,0,-1,0,1330,0
1333,rapamycin,11,12,72,81,METHODS: Twenty renal transplant recipients were switched to fixed dose rapamycin (RAPA) (5 mg/day) 0 to 204 months posttransplant.,11063349_2,0,-1,0,1333,0
1369,vigabatrin,11,12,77,87,PURPOSE: Symptomatic visual field constriction thought to be associated with vigabatrin has been reported.,11077455_1,0,-1,0,1369,0
1373,vigabatrin,8,9,45,55,Six of the patients were no longer receiving vigabatrin.,11077455_3,0,-1,0,1373,0
1394,vigabatrin,11,12,75,85,CONCLUSION: Marked visual field constriction appears to be associated with vigabatrin therapy.,11077455_11,0,-1,0,1394,0
1397,vigabatrin,9,10,75,85,The field defects and some electrophysiological abnormalities persist when vigabatrin therapy is withdrawn.,11077455_12,0,-1,0,1397,0
1400,dobutamine,8,9,56,66,Myocardial ischemia due to coronary artery spasm during dobutamine stress echocardiography.,11078231_0,0,-1,0,1400,0
1402,Dobutamine,0,1,0,10,Dobutamine stress echocardiography (DSE) is a useful and safe provocation test for myocardial ischemia.,11078231_1,0,-1,0,1402,0
1411,dobutamine,19,20,107,117,The aim of the present study is to examine whether myocardial ischemia due to coronary spasm is induced by dobutamine.,11078231_3,0,-1,0,1411,0
1422,dobutamine,5,6,35,45,"DSE was performed with intravenous dobutamine infusion with an incremental doses of 5, 10, 20, 30, and 40 microg/kg/min every 5 minutes.",11078231_7,0,-1,0,1422,0
1429,dobutamine,4,5,29,39,These findings indicate that dobutamine can provoke coronary spasm in some patients with coronary spastic angina.,11078231_10,0,-1,0,1429,0
1437,dobutamine,10,11,58,68,"STUDY OBJECTIVE: To determine the effect of metoprolol on dobutamine stress testing with technetium-99m sestamibi single-photon emission computed tomography imaging and ST-segment monitoring, and to assess the impact of intravenous glucagon on metoprolol's effects.",11079278_1,0,-1,0,1437,0
1446,dobutamine,4,5,33,43,INTERVENTION: Patients underwent dobutamine stress tests per standard protocol.,11079278_5,0,-1,0,1446,0
1449,dobutamine,1,2,7,17,"Before dobutamine was begun, no therapy was given during the first visit, and patients were randomized on subsequent visits to receive metoprolol or metoprolol plus glucagon 1 mg.",11079278_6,0,-1,0,1449,0
1460,dobutamine,3,4,19,29,"CONCLUSION: During dobutamine stress testing, metoprolol attenuates or eliminates evidence of myocardial ischemia.",11079278_12,0,-1,0,1460,0
1495,Paclitaxel,0,1,0,10,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0,-1,0,1495,0
1496,cisplatin,2,3,12,21,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0,-1,0,1496,0
1497,gemcitabine,5,6,27,38,"Paclitaxel, cisplatin, and gemcitabine combination chemotherapy within a multidisciplinary therapeutic approach in metastatic nonsmall cell lung carcinoma.",11135224_0,0,-1,0,1497,0
1507,paclitaxel,20,21,104,114,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0,-1,0,1507,0
1508,cisplatin,22,23,116,125,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0,-1,0,1508,0
1509,gemcitabine,25,26,131,142,"METHODS: The objective of this study was to determine the feasibility, response rate, and toxicity of a paclitaxel, cisplatin, and gemcitabine combination to treat metastatic NSCLC.",11135224_3,0,-1,0,1509,0
1516,paclitaxel,26,27,175,185,"Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks.",11135224_4,0,-1,0,1516,0
1518,cisplatin,41,42,241,250,"Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks.",11135224_4,0,-1,0,1518,0
1520,gemcitabine,57,58,310,321,"Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks.",11135224_4,0,-1,0,1520,0
1530,paclitaxel,15,16,76,86,"After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%).",11135224_9,0,-1,0,1530,0
1531,cisplatin,25,26,112,121,"After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%).",11135224_9,0,-1,0,1531,0
1532,gemcitabine,36,37,152,163,"After 154 courses of therapy, the median dose intensity was 131 mg/m(2) for paclitaxel (97.3%), 117 mg/m(2) for cisplatin (97.3%), and 1378 mg/m(2) for gemcitabine (86.2%).",11135224_9,0,-1,0,1532,0
1536,paclitaxel,5,6,32,42,"CONCLUSIONS: The combination of paclitaxel, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic NSCLC.",11135224_14,0,-1,0,1536,0
1537,cisplatin,7,8,44,53,"CONCLUSIONS: The combination of paclitaxel, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic NSCLC.",11135224_14,0,-1,0,1537,0
1538,gemcitabine,10,11,59,70,"CONCLUSIONS: The combination of paclitaxel, cisplatin, and gemcitabine is well tolerated and shows high activity in metastatic NSCLC.",11135224_14,0,-1,0,1538,0
1547,venlafaxine,10,11,72,83,This concerns 2 male patients who experienced incontinence while taking venlafaxine.,11147747_3,0,-1,0,1547,0
1548,paroxetine,20,21,144,154,"In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.",11147747_4,0,-1,0,1548,0
1550,venlafaxine,35,36,224,235,"In the present paper the authors describe 2 female patients who developed incontinence secondary to the selective serotonin reuptake inhibitors paroxetine and sertraline, as well as a third who developed this side effect on venlafaxine.",11147747_4,0,-1,0,1550,0
1572,benzoylecgonine,9,10,61,76,Plasma was tested for amphetamine and the cocaine metabolite benzoylecgonine using enzyme-mediated immunoassay methodology.,11185967_3,0,-1,0,1572,0
1574,benzoylecgonine,3,4,20,35,Plasma samples with benzoylecgonine greater than 150 ng/mL or an amphetamine greater than 500 ng/mL were defined as positive.,11185967_4,0,-1,0,1574,0
1581,benzoylecgonine,23,24,106,121,"RESULTS: Fourteen of 248 (5.6%, 95% CI 2.7%-8.5%) plasma samples were positive by immunoassay testing for benzoylecgonine and no samples (0%, 95% CI 0-1.2%) were positive for amphetamine.",11185967_6,0,-1,0,1581,0
1633,picrotoxin,21,22,124,134,"Results presented here show that the differential sensitivities of BS and BR lines to beta-CCM can be extended to diazepam, picrotoxin, and pentylenetetrazol, suggesting a genetic selection of a general sensitivity and resistance to several ligands of the GABA(A) receptor.",11206082_5,0,-1,0,1633,0
1641,adriamycin,25,26,146,156,We have studied the role of NO and its association with apoptosis in an experimental model of nephrotic syndrome induced by a single injection of adriamycin (ADR).,11208990_2,0,-1,0,1641,0
1684,ketamine-,13,14,73,82,Melatonin 0.5 and 5 mg/kg influenced the duration but not the latency of ketamine- or diazepam-induced narcosis.,11226639_6,0,-1,0,1684,0
1690,cyclophosphamide,10,11,97,113,"Reduced cardiotoxicity and preserved antitumor efficacy of liposome-encapsulated doxorubicin and cyclophosphamide compared with conventional doxorubicin and cyclophosphamide in a randomized, multicenter trial of metastatic breast cancer.",11230490_0,0,-1,0,1690,0
1691,cyclophosphamide,16,17,157,173,"Reduced cardiotoxicity and preserved antitumor efficacy of liposome-encapsulated doxorubicin and cyclophosphamide compared with conventional doxorubicin and cyclophosphamide in a randomized, multicenter trial of metastatic breast cancer.",11230490_0,0,-1,0,1691,0
1697,cyclophosphamide,24,25,148,164,"PURPOSE: To determine whether Myocet (liposome-encapsulated doxorubicin; The Liposome Company, Elan Corporation, Princeton, NJ) in combination with cyclophosphamide significantly reduces doxorubicin cardiotoxicity while providing comparable antitumor efficacy in first-line treatment of metastatic breast cancer (MBC).",11230490_1,0,-1,0,1697,0
1705,cyclophosphamide,44,45,241,257,"PATIENTS AND METHODS: Two hundred ninety-seven patients with MBC and no prior chemotherapy for metastatic disease were randomized to receive either 60 mg/m(2) of Myocet (M) or conventional doxorubicin (A), in combination with 600 mg/m(2) of cyclophosphamide (C), every 3 weeks until disease progression or unacceptable toxicity.",11230490_2,0,-1,0,1705,0
1723,cyclophosphamide,28,29,204,220,"CONCLUSION: Myocet improves the therapeutic index of doxorubicin by significantly reducing cardiotoxicity and grade 4 neutropenia and provides comparable antitumor efficacy, when used in combination with cyclophosphamide as first-line therapy for MBC.",11230490_9,0,-1,0,1723,0
1739,cyclophosphamide,6,7,56,72,Erythropoietin restores the anemia-induced reduction in cyclophosphamide cytotoxicity in rat tumors.,11245434_0,0,-1,0,1739,0
1741,cyclophosphamide,25,26,147,163,The aim of this study was to examine the impact of anemia prevention by recombinant human erythropoietin (rHuEPO) treatment on the cytotoxicity of cyclophosphamide in solid experimental tumors.,11245434_1,0,-1,0,1741,0
1743,carboplatin,8,9,42,53,Anemia was induced using a single dose of carboplatin (50 mg/kg i.v.) resulting in a long-lasting reduction (30%) of the hemoglobin concentration.,11245434_2,0,-1,0,1743,0
1747,carboplatin,6,7,40,51,three times/week starting 7 days before carboplatin application.,11245434_4,0,-1,0,1747,0
1748,carboplatin,3,4,16,27,"Four days after carboplatin treatment, tumors (DS-sarcoma of the rat) were implanted s.c. onto the hind food dorsum.",11245434_5,0,-1,0,1748,0
1751,carboplatin,1,2,8,19,Neither carboplatin nor rHuEPO treatment influenced tumor growth rate per se.,11245434_6,0,-1,0,1751,0
1755,cyclophosphamide,9,10,47,63,"When tumors were treated with a single dose of cyclophosphamide (60 mg/kg i.p.) 5 days after implantation, a growth delay with a subsequent regrowth of the tumors was observed.",11245434_7,0,-1,0,1755,0
1764,cyclophosphamide,9,10,79,95,"These results suggest that chemotherapy-induced anemia reduces cytotoxicity of cyclophosphamide in tumors, whereas correction of anemia by rHuEPO treatment (epoetin alpha) increases the sensitivity, probably as a result of an improved oxygen supply to tumor tissue.",11245434_10,0,-1,0,1764,0
1784,losartan,4,5,36,44,Repeated transient anuria following losartan administration in a patient with a solitary kidney.,11256525_0,0,-1,0,1784,0
1788,losartan,25,26,161,169,We report the case of a 70-year-old hypertensive man with a solitary kidney and chronic renal insufficiency who developed two episodes of transient anuria after losartan administration.,11256525_1,0,-1,0,1788,0
1794,losartan,5,6,35,43,Due to severe systolic dysfunction losartan was prescribed.,11256525_3,0,-1,0,1794,0
1795,losartan,9,10,41,49,"Surprisingly, the first dose of 50 mg of losartan resulted in a sudden anuria, which lasted eight hours despite high-dose furosemide and amine infusion.",11256525_4,0,-1,0,1795,0
1798,losartan,7,8,28,36,"One week later, by mistake, losartan was prescribed again and after the second dose of 50 mg, the patient developed a second episode of transient anuria lasting 10 hours.",11256525_5,0,-1,0,1798,0
1806,losartan,9,10,59,67,"Under such conditions, angiotensin II receptor blockade by losartan probably induced a critical fall in glomerular filtration pressure.",11256525_9,0,-1,0,1806,0
1810,losartan,12,13,81,89,This case report highlights the fact that the angiotensin II receptor antagonist losartan can cause serious unexpected complications in patients with renovascular disease and should be used with extreme caution in this setting.,11256525_10,0,-1,0,1810,0
1829,cyclosporine-,3,4,17,30,The reduction of cyclosporine- or tacrolimus trough levels and the administration of calcium channel blockers led to relief of pain.,11263551_7,0,-1,0,1829,0
1830,tacrolimus,5,6,34,44,The reduction of cyclosporine- or tacrolimus trough levels and the administration of calcium channel blockers led to relief of pain.,11263551_7,0,-1,0,1830,0
1835,cyclosporine,16,17,91,103,"The Calcineurin-inhibitor Induced Pain Syndrome (CIPS) is a rare but severe side effect of cyclosporine or tacrolimus and is accurately diagnosed by its typical presentation, magnetic resonance imaging and bone scans.",11263551_8,0,-1,0,1835,0
1836,tacrolimus,18,19,107,117,"The Calcineurin-inhibitor Induced Pain Syndrome (CIPS) is a rare but severe side effect of cyclosporine or tacrolimus and is accurately diagnosed by its typical presentation, magnetic resonance imaging and bone scans.",11263551_8,0,-1,0,1836,0
1842,cyclophosphamide,5,6,44,60,Fatal haemorrhagic myocarditis secondary to cyclophosphamide therapy.,11271907_0,0,-1,0,1842,0
